iterations, matrix_dim, etime, flops, cores
3573, 8192, 67.498914, 17761765105.731922, 9984
3573, 8192, 67.507380, 17759537629.219208, 9984
3573, 8192, 67.653079, 17721290340.089325, 9984
3573, 8192, 67.362370, 17797768329.113125, 9984
3573, 8192, 67.499391, 17761639588.126060, 9984
3573, 8192, 67.370329, 17795665735.282368, 9984
3573, 8192, 67.523695, 17755246589.512020, 9984
3573, 8192, 67.356240, 17799388079.857189, 9984
3573, 8192, 67.542143, 17750397042.628632, 9984
3573, 8192, 67.460686, 17771830179.135742, 9984
3573, 8192, 67.589909, 17737852781.544651, 9984
3573, 8192, 67.390200, 17790418419.295387, 9984
3573, 8192, 67.509102, 17759084624.766598, 9984
3573, 8192, 67.413794, 17784191991.330441, 9984
3573, 8192, 67.584313, 17739321480.711063, 9984
3573, 8192, 67.406834, 17786028273.631721, 9984
3573, 8192, 67.643241, 17723867715.918579, 9984
3573, 8192, 67.500799, 17761269097.866531, 9984
3573, 8192, 67.509981, 17758853396.211147, 9984
3573, 8192, 67.481095, 17766455262.173798, 9984
3573, 8192, 67.494063, 17763041696.867474, 9984
3573, 8192, 67.479524, 17766868885.441456, 9984
3573, 8192, 67.503318, 17760606306.196686, 9984
3573, 8192, 67.616155, 17730967626.893307, 9984
3573, 8192, 67.493179, 17763274350.434731, 9984
3573, 8192, 67.581369, 17740094246.389122, 9984
3573, 8192, 67.583137, 17739630158.925594, 9984
3573, 8192, 67.502316, 17760869943.484608, 9984
3573, 8192, 67.620552, 17729814677.644157, 9984
3573, 8192, 67.609647, 17732674382.399899, 9984
3573, 8192, 67.488295, 17764559844.933113, 9984
3573, 8192, 67.615368, 17731174004.111015, 9984
3573, 8192, 67.516980, 17757012463.531395, 9984
3573, 8192, 67.630142, 17727300577.899124, 9984
3573, 8192, 67.481428, 17766367590.205711, 9984
3573, 8192, 67.468346, 17769812459.312401, 9984
3573, 8192, 67.621923, 17729455214.694206, 9984
3573, 8192, 67.599610, 17735307280.027206, 9984
3573, 8192, 67.501694, 17761033602.504848, 9984
3573, 8192, 67.572113, 17742524277.137817, 9984
3573, 8192, 67.596124, 17736221907.634823, 9984
3573, 8192, 67.607078, 17733348205.937847, 9984
3573, 8192, 67.498385, 17761904308.673458, 9984
3573, 8192, 67.482736, 17766023229.407887, 9984
3588, 16384, 272.735719, 17657137460.018574, 9984
3588, 16384, 272.768329, 17655026513.873611, 9984
3588, 16384, 273.128973, 17631714525.723351, 9984
3588, 16384, 273.021356, 17638664429.752518, 9984
3588, 16384, 272.888686, 17647239800.333824, 9984
3588, 16384, 272.972952, 17641792145.911949, 9984
3588, 16384, 273.014850, 17639084762.751915, 9984
3588, 16384, 273.045994, 17637072824.587933, 9984
3588, 16384, 272.935091, 17644239379.391491, 9984
3588, 16384, 272.919767, 17645230074.668797, 9984
3588, 16384, 272.804414, 17652691208.434772, 9984
3588, 16384, 272.879588, 17647828171.889500, 9984
3588, 16384, 272.843623, 17650154427.981628, 9984
3588, 16384, 272.809868, 17652338296.795040, 9984
3588, 16384, 273.056257, 17636409923.541870, 9984
3588, 16384, 272.832485, 17650874970.551983, 9984
3588, 16384, 272.827836, 17651175742.346172, 9984
3588, 16384, 272.867036, 17648639979.510021, 9984
3588, 16384, 273.273956, 17622360180.711842, 9984
3588, 16384, 273.085475, 17634522966.261757, 9984
3588, 16384, 272.898123, 17646629546.953682, 9984
3588, 16384, 273.120675, 17632250215.550323, 9984
3588, 16384, 272.955416, 17642925541.510410, 9984
3588, 16384, 272.832014, 17650905441.910492, 9984
3588, 16384, 272.931588, 17644465838.230495, 9984
3588, 16384, 273.131385, 17631558821.553955, 9984
3588, 16384, 272.731908, 17657384190.778294, 9984
3588, 16384, 272.796261, 17653218790.414433, 9984
3588, 16384, 273.146981, 17630552104.253353, 9984
3588, 16384, 272.821551, 17651582373.124184, 9984
3588, 16384, 272.968648, 17642070310.726677, 9984
3588, 16384, 272.803988, 17652718774.184490, 9984
3588, 16384, 272.865063, 17648767591.181137, 9984
3588, 16384, 272.942299, 17643773421.282715, 9984
3588, 16384, 272.819869, 17651691199.367889, 9984
3588, 16384, 273.011842, 17639279107.314327, 9984
3588, 16384, 272.777995, 17654400900.776474, 9984
3588, 16384, 273.271550, 17622515335.533466, 9984
3588, 16384, 272.812188, 17652188180.976723, 9984
3588, 16384, 272.806016, 17652587546.456455, 9984
3588, 16384, 272.844703, 17650084563.452202, 9984
3588, 16384, 272.791892, 17653501522.105354, 9984
3588, 16384, 273.041302, 17637375903.811066, 9984
3588, 16384, 273.039914, 17637465563.514645, 9984
3588, 16384, 272.723377, 17657936527.531338, 9984
3588, 16384, 272.807185, 17652511903.746231, 9984
3588, 16384, 272.820541, 17651647720.469845, 9984
3588, 16384, 272.831714, 17650924850.473946, 9984
3588, 16384, 273.116317, 17632531565.809013, 9984
3588, 16384, 272.751186, 17656136170.348309, 9984
3488, 2048, 4.534244, 16132493478.515932, 9984
3488, 2048, 4.546735, 16088173548.711329, 9984
3488, 2048, 4.562064, 16034115645.900627, 9984
3488, 2048, 4.561292, 16036829424.645473, 9984
3488, 2048, 4.560821, 16038485562.138922, 9984
3488, 2048, 4.542440, 16103385352.365688, 9984
3488, 2048, 4.590596, 15934458567.035742, 9984
3488, 2048, 4.566940, 16016996448.387762, 9984
3488, 2048, 4.565633, 16021581620.774162, 9984
3488, 2048, 4.557616, 16049764122.295515, 9984
3488, 2048, 4.558107, 16048035239.190306, 9984
3488, 2048, 4.586691, 15948024787.368498, 9984
3488, 2048, 4.558573, 16046394729.227764, 9984
3488, 2048, 4.570914, 16003071105.691334, 9984
