iterations, matrix_dim, etime, flops, cores
3488, 2048, 4.534244, 16132493478.515932, 4
3488, 2048, 4.546735, 16088173548.711329, 4
3488, 2048, 4.562064, 16034115645.900627, 4
3488, 2048, 4.561292, 16036829424.645473, 4
3488, 2048, 4.560821, 16038485562.138922, 4
3488, 2048, 4.542440, 16103385352.365688, 4
3488, 2048, 4.590596, 15934458567.035742, 4
3488, 2048, 4.566940, 16016996448.387762, 4
3488, 2048, 4.565633, 16021581620.774162, 4
3488, 2048, 4.557616, 16049764122.295515, 4
3488, 2048, 4.558107, 16048035239.190306, 4
3488, 2048, 4.586691, 15948024787.368498, 4
3488, 2048, 4.558573, 16046394729.227764, 4
3488, 2048, 4.570914, 16003071105.691334, 4
3488, 2048, 4.553870, 16062966610.816734, 4
3488, 2048, 4.544051, 16097676227.665581, 4
3488, 2048, 4.509858, 16219726155.457664, 4
3488, 2048, 4.533464, 16135269136.360186, 4
3488, 2048, 4.555677, 16056595267.838346, 4
3488, 2048, 4.545194, 16093628073.961199, 4
3488, 2048, 4.547460, 16085608616.678322, 4
3488, 2048, 4.561273, 16036896226.119331, 4
3488, 2048, 4.557346, 16050714990.698534, 4
3488, 2048, 4.536828, 16123305040.437944, 4
3488, 2048, 4.559550, 16042956379.467274, 4
3488, 2048, 4.547332, 16086061400.399179, 4
3488, 2048, 4.583236, 15960046953.724398, 4
3488, 2048, 4.537763, 16119982854.988239, 4
3488, 2048, 4.536703, 16123749286.651562, 4
3488, 2048, 4.546052, 16090590639.966284, 4
3488, 2048, 4.521009, 16179720447.360312, 4
3488, 2048, 4.514973, 16201350874.080530, 4
3488, 2048, 4.542771, 16102212011.127129, 4
3488, 2048, 4.554605, 16060374447.399940, 4
3488, 2048, 4.558465, 16046774903.394016, 4
3488, 2048, 4.556281, 16054466737.235916, 4
3488, 2048, 4.571973, 15999364335.703646, 4
3488, 2048, 4.552014, 16069515990.065058, 4
3488, 2048, 4.555785, 16056214628.214457, 4
3488, 2048, 4.566469, 16018648491.865379, 4
3488, 2048, 4.538536, 16117237311.767496, 4
3488, 2048, 4.501155, 16251087056.544376, 4
3488, 2048, 4.531524, 16142176839.403255, 4
3488, 2048, 4.552479, 16067874615.127275, 4
3488, 2048, 4.548238, 16082857088.833084, 4
3488, 2048, 4.567865, 16013752980.878374, 4
3488, 2048, 4.537103, 16122327784.932367, 4
3488, 2048, 4.539462, 16113949573.760061, 4
3488, 2048, 4.552152, 16069028837.349897, 4
3488, 2048, 4.525171, 16164839242.539122, 4
