iterations, matrix_dim, etime, flops, cores
3573, 8192, 67.479640, 17766838343.535915, 4
3573, 8192, 67.497071, 17762250088.748295, 4
3573, 8192, 67.374415, 17794586496.372547, 4
3573, 8192, 67.439478, 17777418967.566742, 4
3573, 8192, 67.398441, 17788243133.991776, 4
3573, 8192, 67.473207, 17768532261.405628, 4
3573, 8192, 67.360164, 17798351194.038067, 4
3573, 8192, 67.382723, 17792392500.374317, 4
3573, 8192, 67.524060, 17755150613.870075, 4
3573, 8192, 67.474908, 17768084327.880817, 4
3573, 8192, 67.457923, 17772558093.139038, 4
3573, 8192, 67.459183, 17772226137.989250, 4
3573, 8192, 67.463926, 17770976675.149323, 4
3573, 8192, 67.507922, 17759395043.443939, 4
3573, 8192, 67.418198, 17783030263.727901, 4
3573, 8192, 67.490038, 17764101056.810783, 4
3573, 8192, 67.470299, 17769298093.076481, 4
3573, 8192, 67.370851, 17795527851.652042, 4
3573, 8192, 67.372207, 17795169681.171345, 4
3573, 8192, 67.381322, 17792762441.793587, 4
3573, 8192, 67.393671, 17789502153.102776, 4
3573, 8192, 67.406110, 17786219310.979378, 4
3573, 8192, 67.392912, 17789702504.025944, 4
3573, 8192, 67.467221, 17770108766.744671, 4
3573, 8192, 67.493458, 17763200921.784153, 4
3573, 8192, 67.392585, 17789788822.613052, 4
3573, 8192, 67.357665, 17799011520.960533, 4
iterations, matrix_dim, etime, flops, cores
3573, 8192, 67.482740, 17766022176.337238, 4
3573, 8192, 67.498696, 17761822470.762993, 4
3573, 8192, 67.362791, 17797657097.669838, 4
3573, 8192, 67.606742, 17733436339.233742, 4
3573, 8192, 67.465211, 17770638193.957478, 4
3573, 8192, 67.589927, 17737848057.743870, 4
3573, 8192, 67.348514, 17801429967.111080, 4
3573, 8192, 67.502061, 17760937038.055771, 4
3573, 8192, 67.356924, 17799207329.598362, 4
3573, 8192, 67.517405, 17756900688.940876, 4
3573, 8192, 67.361123, 17798097804.277992, 4
3573, 8192, 67.603427, 17734305915.586205, 4
3573, 8192, 67.508682, 17759195111.526546, 4
3573, 8192, 67.471929, 17768868818.912823, 4
3573, 8192, 67.372497, 17795093083.161221, 4
3573, 8192, 67.495628, 17762629830.779560, 4
3573, 8192, 67.552934, 17747561569.420509, 4
3573, 8192, 67.605904, 17733656151.687580, 4
3573, 8192, 67.448827, 17774954861.112709, 4
3573, 8192, 67.533069, 17752782053.485531, 4
3573, 8192, 67.406618, 17786085267.770000, 4
3573, 8192, 67.498391, 17761902729.799885, 4
3573, 8192, 67.521038, 17755945270.865059, 4
3573, 8192, 67.624350, 17728818914.488640, 4
3573, 8192, 67.469014, 17769636523.219383, 4
3573, 8192, 67.485791, 17765218983.059708, 4
3573, 8192, 67.480534, 17766602963.752480, 4
3573, 8192, 67.689585, 17711732984.623856, 4
3573, 8192, 67.387957, 17791010571.221207, 4
3573, 8192, 67.498914, 17761765105.731922, 4
3573, 8192, 67.507380, 17759537629.219208, 4
3573, 8192, 67.653079, 17721290340.089325, 4
3573, 8192, 67.362370, 17797768329.113125, 4
3573, 8192, 67.499391, 17761639588.126060, 4
3573, 8192, 67.370329, 17795665735.282368, 4
3573, 8192, 67.523695, 17755246589.512020, 4
3573, 8192, 67.356240, 17799388079.857189, 4
3573, 8192, 67.542143, 17750397042.628632, 4
3573, 8192, 67.460686, 17771830179.135742, 4
3573, 8192, 67.589909, 17737852781.544651, 4
3573, 8192, 67.390200, 17790418419.295387, 4
3573, 8192, 67.509102, 17759084624.766598, 4
3573, 8192, 67.413794, 17784191991.330441, 4
3573, 8192, 67.584313, 17739321480.711063, 4
3573, 8192, 67.406834, 17786028273.631721, 4
3573, 8192, 67.643241, 17723867715.918579, 4
3573, 8192, 67.500799, 17761269097.866531, 4
3573, 8192, 67.509981, 17758853396.211147, 4
3573, 8192, 67.481095, 17766455262.173798, 4
3573, 8192, 67.494063, 17763041696.867474, 4
3573, 8192, 67.479524, 17766868885.441456, 4
3573, 8192, 67.503318, 17760606306.196686, 4
3573, 8192, 67.616155, 17730967626.893307, 4
3573, 8192, 67.493179, 17763274350.434731, 4
3573, 8192, 67.581369, 17740094246.389122, 4
3573, 8192, 67.583137, 17739630158.925594, 4
3573, 8192, 67.502316, 17760869943.484608, 4
3573, 8192, 67.620552, 17729814677.644157, 4
3573, 8192, 67.609647, 17732674382.399899, 4
3573, 8192, 67.488295, 17764559844.933113, 4
3573, 8192, 67.615368, 17731174004.111015, 4
3573, 8192, 67.516980, 17757012463.531395, 4
3573, 8192, 67.630142, 17727300577.899124, 4
3573, 8192, 67.481428, 17766367590.205711, 4
3573, 8192, 67.468346, 17769812459.312401, 4
3573, 8192, 67.621923, 17729455214.694206, 4
3573, 8192, 67.599610, 17735307280.027206, 4
3573, 8192, 67.501694, 17761033602.504848, 4
3573, 8192, 67.572113, 17742524277.137817, 4
3573, 8192, 67.596124, 17736221907.634823, 4
3573, 8192, 67.607078, 17733348205.937847, 4
3573, 8192, 67.498385, 17761904308.673458, 4
3573, 8192, 67.482736, 17766023229.407887, 4
